topic,category,prompt,quality_score
sorting algorithms,Coding,You are an expert in sorting algorithms. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.98
revenue model,Business,"As a leading researcher in Business, analyze revenue model with academic rigor covering methodology findings implications and areas requiring further investigation.",0.93
time management,General,"As a domain expert, explain time management thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.94
climate change,Science,Walk me through climate change step by step covering the basics and intermediate concepts.,0.59
ethics of AI,Philosophy,Act as a seasoned practitioner with 20 years experience in ethics of AI. Share expert insights common pitfalls best practices and real-world case studies.,0.84
brand identity,Business,Act as a seasoned practitioner with 20 years experience in brand identity. Share expert insights common pitfalls best practices and real-world case studies.,0.82
student motivation,Education,You are a world-renowned expert in student motivation. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.9
nanotechnology,Science,Act as a thought leader on nanotechnology. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.87
database indexing,Coding,database indexing explanation,0.45
brand storytelling,Marketing,Describe brand storytelling briefly,0.38
kubernetes,Coding,Act as a specialist in kubernetes. Break down this subject systematically explaining core components their relationships and practical applications in Coding context.,0.86
epistemology,Philosophy,Give me info on epistemology,0.18
social contract,Philosophy,Describe social contract including its key features benefits and limitations.,0.54
