topic,category,prompt,quality_score,source
social media campaign,Marketing,Walk me through social media campaign step by step covering the basics and intermediate concepts.,0.7,
Think of a country you'd like,General,Think of a country you'd like to visit and describe its unique cultural attractions and experiences.,0.3999999999999999,ai_generated_prompts
What is the most significant achievement,Creative Writing,What is the most significant achievement in the history of humankind and why?,0.38,ai_generated_prompts
existentialism,Philosophy,"As a domain expert, explain existentialism thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.93,
influencer strategy,Marketing,What are the most important aspects of influencer strategy in the context of Marketing?,0.8,
What are some benefits of practicing,General,What are some benefits of practicing mindfulness and meditation in our daily lives?,0.33,ai_generated_prompts
personal finance,General,Give me info on personal finance,0.29,
critical thinking,Education,help with critical thinking,0.36,
influencer strategy,Marketing,Act as a seasoned practitioner with 20 years experience in influencer strategy. Share expert insights common pitfalls best practices and real-world case studies.,0.88,
If you could travel back in,Creative Writing,"If you could travel back in time to any point in history, where and when would you go?",0.4499999999999999,ai_generated_prompts
If you could travel back in,Creative Writing,"If you could travel back in time, what event in history would you most like to witness?",0.4399999999999999,ai_generated_prompts
If you could travel back in,General,"If you could travel back in time to any historical period, where would you go and why?",0.49,ai_generated_prompts
What is your favorite memory from,General,What is your favorite memory from a trip you've taken?,0.33,ai_generated_prompts
What are your thoughts on the,General,What are your thoughts on the impact of technology on our everyday lives?,0.38,ai_generated_prompts
supply chain,Business,Act as a seasoned practitioner with 20 years experience in supply chain. Share expert insights common pitfalls best practices and real-world case studies.,0.89,
Imagine you are the captain of,Creative Writing,"Imagine you are the captain of a ship, navigating through uncharted waters. What decision will you make to ensure the safety and success of your crew?",0.5800000000000001,ai_generated_prompts
What's an interesting fact about the,Creative Writing,What's an interesting fact about the history of your favorite hobby or pastime?,0.3,ai_generated_prompts
growth hacking,Marketing,Describe growth hacking including its key features benefits and limitations.,0.71,
What is the most significant invention,General,What is the most significant invention of the past century and why?,0.38,ai_generated_prompts
